x,y,temperatura
-73.59098320250258,10.823374299391771,5.70465755
-73.55473012658362,10.823374299391771,5.70465755
-73.51847705066467,10.823374299391771,9.10487652
-73.48222397474572,10.823374299391771,10.29379463
-73.44597089882677,10.823374299391771,15.84810925
-73.40971782290781,10.823374299391771,11.88971233
-73.37346474698886,10.823374299391771,17.09906769
-73.33721167106991,10.823374299391771,21.01805496
-73.30095859515096,10.823374299391771,23.32831573
-73.264705519232,10.823374299391771,26.16053391
-75.25862469477448,10.787764026195646,29.93524742
-73.59098320250258,10.787764026195646,8.95669842
-73.55473012658362,10.787764026195646,8.95669842
-73.51847705066467,10.787764026195646,8.46109581
-73.48222397474572,10.787764026195646,10.83223248
-73.44597089882677,10.787764026195646,18.69930077
-73.40971782290781,10.787764026195646,22.06795883
-73.37346474698886,10.787764026195646,17.50190353
-73.33721167106991,10.787764026195646,18.21902657
-73.30095859515096,10.787764026195646,24.21230125
-73.264705519232,10.787764026195646,26.70938301
-75.25862469477448,10.752149535422618,30.02647972
-73.51847705066467,10.752149535422618,9.5189724
-73.48222397474572,10.752149535422618,19.31932831
-73.44597089882677,10.752149535422618,20.23578072
-73.40971782290781,10.752149535422618,21.29453468
-73.37346474698886,10.752149535422618,25.98068428
-73.33721167106991,10.752149535422618,24.22824669
-73.30095859515096,10.752149535422618,28.58394432
-75.25862469477448,10.716530840335311,30.22949409
-73.55473012658362,10.716530840335311,9.37501335
-73.51847705066467,10.716530840335311,11.95360279
-73.48222397474572,10.716530840335311,16.06488991
-73.44597089882677,10.716530840335311,18.81847954
-73.40971782290781,10.716530840335311,22.37228775
-73.37346474698886,10.716530840335311,28.75779533
-73.33721167106991,10.716530840335311,29.15117836
-73.30095859515096,10.716530840335311,28.96938324
-73.264705519232,10.716530840335311,29.42787743
-73.22845244331303,10.716530840335311,29.82323265
-75.36738392253133,10.680907954204427,30.00863075
-75.33113084661238,10.680907954204427,30.23054886
-75.29487777069343,10.680907954204427,30.23054886
-75.25862469477448,10.680907954204427,30.29434204
-73.59098320250258,10.680907954204427,12.75624657
-73.55473012658362,10.680907954204427,12.75624657
-73.51847705066467,10.680907954204427,19.8705616
-73.48222397474572,10.680907954204427,22.43338394
-73.44597089882677,10.680907954204427,25.11041069
-73.40971782290781,10.680907954204427,22.18090439
-73.37346474698886,10.680907954204427,25.61690331
