x,y,palma_potencia
-73.29768381976052,10.372168844910172,3.28768802
-73.22888233008014,10.403749946923279,0.3907423
-73.22429556410145,10.403749946923279,0.09392411
-73.21512203214407,10.403749946923279,1.20600295
-73.21053526616538,10.403749946923279,1.18621516
-73.30227058573921,10.399238556360011,0.54508775
-73.29309705378182,10.399238556360011,1.13080907
-73.28851028780313,10.399238556360011,0.35908172
-73.28392352182445,10.399238556360011,0.60445142
-73.24264262801623,10.399238556360011,0.03060289
-73.23346909605884,10.399238556360011,0.11371198
-73.22888233008014,10.399238556360011,0.3907423
-73.22429556410145,10.399238556360011,0.09392411
-73.21512203214407,10.399238556360011,2.09645772
-73.21053526616538,10.399238556360011,1.18621516
-73.29768381976052,10.394727100605492,1.1782999
-73.28851028780313,10.394727100605492,1.32868791
-73.26557645790967,10.394727100605492,0.08600895
-73.2564029259523,10.394727100605492,0.31159079
-73.24264262801623,10.394727100605492,1.25349391
-73.23805586203754,10.394727100605492,0.54904538
-73.22888233008014,10.394727100605492,1.45137274
-73.22429556410145,10.394727100605492,1.45533025
-73.21970879812275,10.394727100605492,1.4434576
-73.21512203214407,10.394727100605492,0.11371198
-73.29768381976052,10.390215579686744,1.1782999
-73.29309705378182,10.390215579686744,3.9525609
-73.28851028780313,10.390215579686744,1.32868791
-73.27474998986706,10.390215579686744,0.67173022
-73.26557645790967,10.390215579686744,2.5199182
-73.24264262801623,10.390215579686744,1.25349391
-73.23805586203754,10.390215579686744,1.04374242
-73.22888233008014,10.390215579686744,1.37617874
-73.22429556410145,10.390215579686744,1.45533025
-73.21970879812275,10.390215579686744,1.53052425
-73.21512203214407,10.390215579686744,0.11371198
-73.29768381976052,10.385703993630809,1.31285751
-73.29309705378182,10.385703993630809,3.35496688
-73.28851028780313,10.385703993630809,2.91567588
-73.28392352182445,10.385703993630809,1.70070004
-73.27474998986706,10.385703993630809,0.1770332
-73.27016322388837,10.385703993630809,1.94606972
-73.26557645790967,10.385703993630809,1.8075546
-73.26098969193099,10.385703993630809,0.67568779
-73.2564029259523,10.385703993630809,0.37491199
-73.2518161599736,10.385703993630809,1.18225753
-73.24722939399491,10.385703993630809,0.07017865
-73.24264262801623,10.385703993630809,2.65447593
-73.23805586203754,10.385703993630809,2.27454853
-73.22888233008014,10.385703993630809,0.80628783
-73.22429556410145,10.385703993630809,1.82338488
-73.21970879812275,10.385703993630809,1.43554235
-73.18760143627192,10.385703993630809,0.12954229
-73.30227058573921,10.381192342464708,1.48699093
-73.29768381976052,10.381192342464708,2.27454853
-73.29309705378182,10.381192342464708,3.35496688
-73.28851028780313,10.381192342464708,2.76924562
-73.28392352182445,10.381192342464708,1.70070004
-73.27933675584575,10.381192342464708,0.81024539
-73.27474998986706,10.381192342464708,0.1770332
-73.27016322388837,10.381192342464708,1.94606972
-73.26557645790967,10.381192342464708,1.8075546
-73.2564029259523,10.381192342464708,0.37491199
-73.2518161599736,10.381192342464708,0.79441506
-73.24722939399491,10.381192342464708,0.07017865
-73.24264262801623,10.381192342464708,2.45263958
-73.23805586203754,10.381192342464708,2.27454853
-73.22888233008014,10.381192342464708,0.80628783
-73.22429556410145,10.381192342464708,1.26932418
-73.21970879812275,10.381192342464708,1.43554235
-73.32061764965397,10.376680626215485,0.52529991
-73.3114441176966,10.376680626215485,0.21265139
-73.3068573517179,10.376680626215485,0.33929384
-73.30227058573921,10.376680626215485,1.28119695
-73.29768381976052,10.376680626215485,3.28768802
-73.29309705378182,10.376680626215485,6.17671871
-73.28851028780313,10.376680626215485,0.96063328
-73.28392352182445,10.376680626215485,1.13476658
-73.27933675584575,10.376680626215485,0.70339084
-73.27474998986706,10.376680626215485,1.13476658
-73.27016322388837,10.376680626215485,1.35639083
-73.26557645790967,10.376680626215485,3.08980918
-73.26098969193099,10.376680626215485,0.7548393
-73.2518161599736,10.376680626215485,0.53717262
-73.24722939399491,10.376680626215485,1.32077265
-73.23805586203754,10.376680626215485,0.15724532
-73.23346909605884,10.376680626215485,1.74027574
-73.22888233008014,10.376680626215485,2.19143939
-73.22429556410145,10.376680626215485,1.90253639
-73.21970879812275,10.376680626215485,0.49363929
-73.21053526616538,10.376680626215485,0.7548393
-73.20594850018668,10.376680626215485,2.82860923
-73.20136173420799,10.376680626215485,2.82860923
-73.1967749682293,10.376680626215485,1.71653032
-73.1921882022506,10.376680626215485,1.32077265
-73.32061764965397,10.372168844910172,0.53717262
-73.3114441176966,10.372168844910172,2.36161518
-73.3068573517179,10.372168844910172,0.33929384
-73.28851028780313,10.327047459721824,2.50804543
-73.28392352182445,10.327047459721824,1.43158484
-73.27474998986706,10.327047459721824,0.46989384
-73.2564029259523,10.327047459721824,1.09123325
-73.24722939399491,10.327047459721824,1.32077265
-73.34813824552612,10.322534964584573,0.07017865
-73.34355147954743,10.322534964584573,0.12558471
-73.33896471356873,10.322534964584573,2.10041523
-73.33437794759004,10.322534964584573,0.03456046
-73.31603088367528,10.322534964584573,0.86565143
-73.3114441176966,10.322534964584573,1.00020897
-73.3068573517179,10.322534964584573,0.77066964
-73.30227058573921,10.322534964584573,1.09914839
-73.29309705378182,10.322534964584573,0.20077866
-73.28851028780313,10.322534964584573,0.93293023
-73.28392352182445,10.322534964584573,2.54762125
-73.27933675584575,10.322534964584573,3.35892439
-73.27474998986706,10.322534964584573,1.03978479
-73.27016322388837,10.322534964584573,0.59257871
-73.2518161599736,10.322534964584573,0.88939691
-73.24722939399491,10.322534964584573,1.5423969
-73.34813824552612,10.318022404715833,0.32346353
-73.34355147954743,10.318022404715833,0.12558471
-73.33437794759004,10.318022404715833,0.03456046
-73.32979118161136,10.318022404715833,0.74692416
-73.31603088367528,10.318022404715833,0.86565143
-73.3068573517179,10.318022404715833,0.77066964
-73.29309705378182,10.318022404715833,0.80628783
-73.28851028780313,10.318022404715833,0.93293023
-73.28392352182445,10.318022404715833,2.54762125
-73.27933675584575,10.318022404715833,3.35892439
-73.27474998986706,10.318022404715833,0.93293023
-73.27016322388837,10.318022404715833,0.59257871
-73.2518161599736,10.318022404715833,0.88939691
-73.24722939399491,10.318022404715833,1.5423969
-73.31603088367528,10.313509780142672,1.08727574
-73.29309705378182,10.313509780142672,0.73109388
-73.27933675584575,10.313509780142672,0.20473623
-73.27474998986706,10.313509780142672,0.05830592
-73.27016322388837,10.313509780142672,0.87356657
-73.24722939399491,10.313509780142672,0.54113019
-73.24264262801623,10.313509780142672,0.70734841
-73.42611326716387,10.308997090892152,1.41179693
-73.29309705378182,10.308997090892152,0.73109388
-73.27933675584575,10.308997090892152,0.14933017
-73.27474998986706,10.308997090892152,0.05830592
-73.27016322388837,10.308997090892152,0.87356657
-73.24722939399491,10.308997090892152,0.54113019
-73.43528679912126,10.304484336991344,0.70339084
-73.43070003314257,10.304484336991344,4.58181524
-73.34355147954743,10.304484336991344,0.51738477
-73.28851028780313,10.304484336991344,0.58862114
-73.27474998986706,10.304484336991344,0.92897266
-73.2564029259523,10.304484336991344,0.21660896
-73.2518161599736,10.304484336991344,0.54508775
-73.43528679912126,10.299971518467315,0.70339084
-73.34355147954743,10.299971518467315,0.51738477
-73.28851028780313,10.299971518467315,0.58862114
-73.28392352182445,10.299971518467315,0.97250599
-73.26557645790967,10.299971518467315,0.25618473
-73.2564029259523,10.299971518467315,0.21660896
-73.2518161599736,10.299971518467315,0.54508775
-73.43528679912126,10.295458635347135,3.07002139
-73.39400590531304,10.295458635347135,0.81024539
-73.38483237335566,10.295458635347135,0.88939691
