x,y,ghi
-73.59098320250258,10.823374299391771,559.43847656
-73.55473012658362,10.823374299391771,559.43847656
-73.51847705066467,10.823374299391771,550.31591797
-73.48222397474572,10.823374299391771,540.39550781
-73.44597089882677,10.823374299391771,495.7265625
-73.40971782290781,10.823374299391771,487.871521
-73.37346474698886,10.823374299391771,505.57684326
-73.33721167106991,10.823374299391771,529.26574707
-73.30095859515096,10.823374299391771,511.49014282
-73.264705519232,10.823374299391771,519.41491699
-75.25862469477448,10.787764026195646,553.2520752
-73.59098320250258,10.787764026195646,513.50384521
-73.55473012658362,10.787764026195646,513.50384521
-73.51847705066467,10.787764026195646,517.63000488
-73.48222397474572,10.787764026195646,512.89892578
-73.44597089882677,10.787764026195646,459.72467041
-73.40971782290781,10.787764026195646,433.57617188
-73.37346474698886,10.787764026195646,436.65383911
-73.33721167106991,10.787764026195646,443.17767334
-73.30095859515096,10.787764026195646,479.07617188
-73.264705519232,10.787764026195646,518.16503906
-75.25862469477448,10.752149535422618,551.36010742
-73.51847705066467,10.752149535422618,513.82043457
-73.48222397474572,10.752149535422618,462.31820679
-73.44597089882677,10.752149535422618,419.97973633
-73.40971782290781,10.752149535422618,444.56945801
-73.37346474698886,10.752149535422618,439.49108887
-73.33721167106991,10.752149535422618,449.91259766
-73.30095859515096,10.752149535422618,487.18505859
-75.25862469477448,10.716530840335311,544.78887939
-73.55473012658362,10.716530840335311,547.84381104
-73.51847705066467,10.716530840335311,501.69494629
-73.48222397474572,10.716530840335311,426.76040649
-73.44597089882677,10.716530840335311,452.66067505
-73.40971782290781,10.716530840335311,440.61535645
-73.37346474698886,10.716530840335311,481.80603027
-73.33721167106991,10.716530840335311,494.91149902
-73.30095859515096,10.716530840335311,501.19561768
-73.264705519232,10.716530840335311,538.12316895
-73.22845244331303,10.716530840335311,553.03997803
-75.36738392253133,10.680907954204427,544.48492432
-75.33113084661238,10.680907954204427,546.72943115
-75.29487777069343,10.680907954204427,546.72943115
-75.25862469477448,10.680907954204427,544.03753662
-73.59098320250258,10.680907954204427,519.2545166
-73.55473012658362,10.680907954204427,519.2545166
-73.51847705066467,10.680907954204427,433.03042603
-73.48222397474572,10.680907954204427,421.70932007
-73.44597089882677,10.680907954204427,478.99465942
-73.40971782290781,10.680907954204427,476.16546631
-73.37346474698886,10.680907954204427,525.51739502
-73.33721167106991,10.680907954204427,526.38848877
-73.30095859515096,10.680907954204427,530.00219727
-73.264705519232,10.680907954204427,543.07189941
-73.22845244331303,10.680907954204427,553.39727783
